window_index,window_seconds,window_start_timestamp,window_end_timestamp,request_count,inter_arrival_count,gamma,alpha,beta
126,3600.0,7452014.0,7455614.0,1583,1040,0.015520978047438875,0.015520978047438875,220.60713255782642
127,3600.0,7455614.0,7459214.0,1529,592,0.002534028347223082,0.002534028347223082,2399.101769541766
128,3600.0,7459214.0,7462814.0,8543,3029,3.9568031911517942,3.9568031911517942,0.3002881013773095
129,3600.0,7462814.0,7466414.0,9064,2762,0.013568800327180743,0.013568800327180743,94.16435425190721
130,3600.0,7466414.0,7470014.0,1284,645,0.06656575298183177,0.06656575298183177,20.170066419607434
131,3600.0,7470014.0,7473614.0,17955,3165,5.711907390976693,5.711907390976693,0.19907969872270748
132,3600.0,7473614.0,7477214.0,10088,3276,7.528934209019719,7.528934209019719,0.14591651594985686
133,3600.0,7477214.0,7480814.0,7945,2860,2.8699695272930565,2.8699695272930565,0.4384686305636556
134,3600.0,7480814.0,7484414.0,7633,3067,0.27640072798142623,0.27640072798142623,4.244320786119398
135,3600.0,7484414.0,7488014.0,7194,3007,3.3772764961098076,3.3772764961098076,0.35439027930845374
136,3600.0,7488014.0,7491614.0,9075,2856,5.545803994385594,5.545803994385594,0.203487429722126
137,3600.0,7491614.0,7495214.0,3443,2090,0.10164628599975073,0.10164628599975073,12.318729580054873
138,3600.0,7495214.0,7498814.0,7816,2774,3.316263251625503,3.316263251625503,0.3911161091257712
139,3600.0,7498814.0,7502414.0,11016,2929,0.2586913066482106,0.2586913066482106,4.749858155470402
140,3600.0,7502414.0,7506014.0,18195,3195,0.23135903920057072,0.23135903920057072,4.8688288913507884
141,3600.0,7506014.0,7509614.0,16600,3253,6.2685965251898725,6.2685965251898725,0.1764929920845098
142,3600.0,7509614.0,7513214.0,4522,2675,0.01669340117768813,0.01669340117768813,80.59595204276943
143,3600.0,7513214.0,7516814.0,11792,3071,3.657494573860958,3.657494573860958,0.3202409982557954
144,3600.0,7516814.0,7520414.0,11222,2681,0.27436506683728584,0.27436506683728584,4.89142648149412
145,3600.0,7520414.0,7524014.0,2417,1683,0.0294006027925887,0.0294006027925887,70.59244675583233
146,3600.0,7524014.0,7527614.0,1756,1299,0.022675883984305388,0.022675883984305388,117.70108443561057
147,3600.0,7527614.0,7531214.0,5194,2248,0.03209462987782477,0.03209462987782477,48.1643973219998
148,3600.0,7531214.0,7534814.0,3450,1897,9.189816287144366,9.189816287144366,0.11782196970669223
149,3600.0,7534814.0,7538414.0,1805,1070,18.647500335075378,18.647500335075378,0.056082283079853724
150,3600.0,7538414.0,7542014.0,3925,2483,0.012870231566059771,0.012870231566059771,112.62084100194603
